2023-04-17 23-32-24 top info:
Tasks: 750 total,   4 running, 744 sleeping,   0 stopped,   2 zombie
  Mem:  7703324K total,  7035380K used,   667944K free,   5562368 buffers
 Swap:  4194304K total,         0 used,  4194304K free,  2652972K cached
800%cpu 157%user   3%nice 267%sys 373%idle   0%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
   969 root         20   0  14M 1.4M 1.2M S  0.0   0.0   0:00.01 vendor.vivo.hardware.nativecamera.provider@1.0-service
   959 root         20   0  16M 1.4M 1.2M S  0.0   0.0   0:00.01 vendor.vivo.hardware.camera.cameralog@1.0-service
   953 root         30  10 2.0G 6.0M 4.5M S  0.0   0.0   0:01.94 storaged
   949 shell        20   0 2.0G 3.5M 3.5M S  0.0   0.0   0:00.07 netdiag
   945 system       20   0 2.0G 3.6M 3.3M S  0.0   0.0   0:13.13 mobile_log_d
   933 mediacodec   20   0 2.1G 9.1M 8.9M S  0.0   0.1   0:00.06 media.vivocodec avivocodec
   932 media        20   0  70M  16M  15M S  0.0   0.2   0:00.85 mediaserver
   927 media        20   0 2.2G 5.3M 5.1M S  0.0   0.0   0:00.19 media.metrics diametrics
   924 mediaex      20   0 2.1G  25M  23M S  0.0   0.3   0:00.36 media.extractor aextractor
   920 keystore     20   0 2.0G 8.7M 7.9M S  0.0   0.1   0:00.42 keystore /data/misc/keystore
   917 root         20   0 2.1G 5.9M 4.6M S  0.0   0.0   0:03.00 installd
   915 system       20   0  59M  16M  16M S  0.0   0.2   0:00.22 vtservice
   907 system       20   0 2.0G 2.5M 2.5M S  0.0   0.0   0:00.00 thermald
   895 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
   890 incidentd    20   0 2.0G 5.0M 4.7M S  0.0   0.0   0:00.01 incidentd
   883 drm          20   0  58M  16M  16M S  0.0   0.2   0:00.08 drmserver
   881 shell        20   0  10M 212K 212K S  0.0   0.0   0:00.16 connsyslogger
   867 cameraserver 20   0  56M  19M  16M S  0.0   0.2   0:02.59 cameraserver
   865 root         20   0 2.1G 2.9M 2.6M S  0.0   0.0   0:00.20 vdtf
   864 root         20   0 2.1G 9.2M 8.3M S  0.0   0.1   0:05.46 vivo_daemon
