2023-04-17 23-20-35 top info:
Tasks: 781 total,   1 running, 780 sleeping,   0 stopped,   0 zombie
  Mem:  7703324K total,  7114480K used,   588844K free,   5079040 buffers
 Swap:  4194304K total,         0 used,  4194304K free,  2623824K cached
800%cpu 130%user   0%nice 212%sys 458%idle   0%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
  2735 system       20   0 5.3G 133M 111M S  0.0   1.7   0:02.15 com.vivo.globalanimation
  2704 system       20   0 6.0G 120M 103M S  0.0   1.5   0:13.57 com.vivo.daemonService
  2659 system       20   0 6.3G 149M 109M S  0.0   1.9   2:05.35 com.vivo.aiengine
  2625 u0_a155      20   0 5.7G 119M  95M S  0.0   1.5   0:11.95 com.vivo.pushservice
  2593 system       20   0 5.4G  93M  81M S  0.0   1.2   0:02.23 com.vivo.epm
  2475 system       20   0 5.6G 111M  97M S  0.0   1.4   0:05.54 com.vivo.smartmultiwindow
  2474 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  2434 system       20   0 5.0G  85M  76M S  0.0   1.1   0:01.74 com.vivo.fingerprintui:fingerprintui_public
  2390 system       20   0 5.7G 129M 101M S  0.0   1.7   0:31.49 com.vivo.pem
  2313 webview_zygote 20 0 1.8G  32M  29M S  0.0   0.4   0:00.16 webview_zygote
  2294 u0_a194      20   0 5.6G 148M 133M S  0.0   1.9   0:03.80 com.vivo.livewallpaper.ocean
  2240 system       20   0 5.4G  99M  85M S  0.0   1.3   0:01.70 com.vivo.vms
  2198 system       20   0 5.4G  88M  80M S  0.0   1.1   0:04.23 com.vivo.fingerprintui
  2098 u0_a142      20   0 5.6G 101M  86M S  0.0   1.3   0:08.73 com.bbk.iqoo.logsystem
  1966 bluetooth    20   0 6.0G 107M  99M S  0.0   1.4   0:07.47 com.android.bluetooth
  1933 system       20   0 7.0G 135M 105M S  0.0   1.7   0:22.39 com.vivo.abe
  1888 system       20   0 5.2G  81M  75M S  0.0   1.0   0:00.21 com.vivo.faceui
  1882 system       20   0 5.6G 105M  85M S  0.0   1.3   0:46.56 com.vivo.sps
  1881 wifi         20   0 2.0G  12M  11M S  0.0   0.1   0:02.50 wpa_supplicant -O/data/vendor/wifi/wpa/sockets -dd -g@android:wpa_wlan0
  1876 root         10 -10    0    0    0 S  0.0   0.0   0:58.77 [rx_thread]
  1875 root         10 -10    0    0    0 S  0.0   0.0   1:26.10 [hif_thread]
  1874 root         10 -10    0    0    0 S  0.0   0.0   1:12.34 [main_thread]
  1858 wifi         20   0 2.0G 6.7M 6.4M S  0.0   0.0   0:03.21 android.hardware.wifi@1.0-service-lazy
  1628 root         RT   0    0    0    0 S  0.0   0.0   0:00.07 [tcpc_event_type]
  1621 root         20   0    0    0    0 I  0.0   0.0   0:10.68 [kworker/u16:21]
  1456 radio        20   0 3.3G  14M  13M S  0.0   0.1   0:07.24 mtkfusionrild -l libmtk-ril.so
  1382 radio        20   0  39M 836K 836K S  0.0   0.0   0:03.84 gsm0710muxd -s /dev/ttyC0 -f 512 -n 8 -m basic
  1380 shell        20   0 2.1G 3.3M 3.3M S  0.0   0.0   0:00.41 emdlogger1
  1347 root         20   0    0    0    0 S  0.0   0.0   0:00.03 [rpmb_gp_Dci]
  1255 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  1208 root         30  10    0    0    0 S  0.0   0.0   1:08.87 [zram0_wbd]
  1205 root         20   0    0    0    0 S  0.0   0.0   0:00.74 [file-storage]
  1204 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [wlan_rst_thread]
  1188 root         20   0    0    0    0 S  0.0   0.0   0:00.14 [mtk_wland_threa]
  1187 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx15_worker]
  1186 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx14_worker]
  1185 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx13_worker]
  1184 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx12_worker]
  1183 root         RT   0    0    0    0 S  0.0   0.0   0:00.24 [irq/468-gps_dma]
  1182 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/467-gps_mb1]
  1172 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx11_worker]
  1171 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/466-gps_nd1]
  1170 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/465-gps_da1]
  1169 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/464-gps_mb0]
  1167 root         RT   0    0    0    0 S  0.0   0.0   0:00.05 [irq/463-gps_nd0]
  1163 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx10_worker]
  1161 root         RT   0    0    0    0 S  0.0   0.0   0:00.09 [irq/462-gps_da0]
  1158 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/27-gf]
  1154 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx9_worker]
  1153 root         20   0    0    0    0 S  0.0   0.0   0:00.52 [gps_kctrld]
  1151 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx8_worker]
  1142 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fm_eint_wq]
  1139 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fm_timer_wq]
  1134 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx7_worker]
  1084 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx6_worker]
  1083 system       20   0 2.1G 7.0M 6.9M S  0.0   0.0   0:00.18 vendor.vivo.hardware.biometrics.fingerprint@3.0-service
  1079 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx5_worker]
  1078 system       20   0 2.0G 6.1M 6.1M S  0.0   0.0   0:00.05 vendor.vivo.hardware.biometrics.face@2.0-service
  1076 system       20   0 2.0G 3.5M 3.5M S  0.0   0.0   0:00.02 netdagent
  1068 system       20   0 2.0G 6.7M 6.3M S  0.0   0.0   0:00.07 gatekeeperd /data/misc/gatekeeper
  1063 credstore    20   0 2.0G 7.2M 6.7M S  0.0   0.0   0:00.05 credstore /data/misc/credstore
  1059 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx4_worker]
  1054 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx3_worker]
  1053 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx2_worker]
  1051 mediacodec   20   0 2.2G  15M  15M S  0.0   0.2   0:00.44 media.swcodec oid.media.swcodec/bin/mediaswcodec
  1050 wifi         20   0 2.0G 2.4M 2.4M S  0.0   0.0   0:00.09 wlan_assistant
  1047 media        20   0  22M 5.3M 4.1M S  0.0   0.0   0:01.69 vpud -f
  1044 system       20   0 2.0G 4.4M 4.4M S  0.0   0.0   0:00.06 vendor.vivo.hardware.tam@1.0-service
  1043 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx1_worker]
  1042 system       20   0 2.0G 6.1M 5.3M S  0.0   0.0   0:00.23 vendor.vivo.hardware.sectee@1.0-service
  1041 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx0_worker]
  1040 system       20   0 2.1G  10M 9.4M S  0.0   0.1   0:32.97 vendor.mediatek.hardware.pq@2.2-service
  1039 system       20   0 2.0G 4.3M 4.3M S  0.0   0.0   0:00.01 vendor.mediatek.hardware.mmagent@1.0-service
  1036 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq3_don]
  1035 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq2_don]
  1034 gps          20   0  70M 4.3M 3.7M S  0.0   0.0   0:01.06 mtk_agpsd
  1032 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq1_don]
  1031 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq0_don]
  1030 system       20   0 8.8M 484K 464K S  0.0   0.0   0:00.95 thermalloadalgod
